""number"",""logFC"",""AveExpr"",""t"",""P.Value"",""adj.P.Val"",""B""
6081,-0.320454178624973,0.755935622532957,-0.618924943946306,0.536567340457741,0.771195064241575,-5.81980838772938
6082,0.862411853539515,0.633059048514732,1.79686398174603,0.0736456349081282,0.297763477853897,-4.48775735340634
6083,0.79144823394079,0.331114822748063,1.67023284441521,0.096209166579838,0.338185037790026,-4.69216505934193
6084,1.09316552997241,0.108016124570657,2.25668576471682,0.0249503713464849,0.173564295667147,-3.62440781166341
6085,0.663641356794649,-0.00276653090254956,1.40673560010469,0.160831358615576,0.43117345541889,-5.07069958877139
6086,0.753343487644078,-0.0910584347444747,1.6922284759399,0.0919323227813804,0.330072396573207,-4.6577031710158
6087,0.960237270507994,-0.147838552926767,2.04872336237658,0.0416040055214688,0.223582661521803,-4.03823940582016
6088,0.988686272033982,-0.245503123448511,1.95734655037745,0.0514945864266089,0.250124860860663,-4.20790629074339
6089,1.07522119716504,-0.289549529779066,2.05748553736428,0.0407469053532224,0.221133782269735,-4.02157818951204
6090,0.896018866956229,-0.414611851314845,1.70378831793444,0.0897470158563714,0.327917395229135,-4.63941555711622
6091,0.54838982833254,-0.569741987961845,1.17649350821934,0.240592113856203,0.527104896432551,-5.34926305156596
6092,0.413725866711288,-0.56734609341583,0.934610739335661,0.350951550116963,0.633695118302534,-5.58902015586117
6093,0.867237124661042,-0.418022456232259,1.86993243075302,0.0627408296622424,0.275868576206809,-4.36321378666812
6094,1.13795738911001,-0.32283227839546,2.27804888483289,0.0236254466464326,0.169835013788879,-3.57973081343013
6095,1.04200309160379,-0.331844361162321,2.05257796480762,0.041225080843703,0.2224337256032,-4.03091833674198
6096,1.03049001536967,-0.402640894887683,2.1551452218123,0.0321702134194809,0.197088056880985,-3.83125559054088
6097,0.722163022480336,-0.546477148270499,1.41881314371238,0.157282894807393,0.426620563805124,-5.05473917809335
6098,0.35363085485977,-0.626251571648413,0.667959424723351,0.504817195683619,0.750980079100957,-5.79008505601441
6099,-0.445569525996584,-0.615044937073131,-0.979625265872265,0.328281964757005,0.613308738620807,-5.54852338598024
6100,-0.281766677436437,-0.295099881819257,-0.630714917753769,0.528841914542618,0.766885034232777,-5.81286771516799
6101,0.525967654153952,-0.0210546660793355,1.07073015559842,0.285392963691556,0.577868098236338,-5.46078779133289
6102,0.381548247834576,0.0646021030899809,0.815708676987436,0.415495577941104,0.687609922123157,-5.68689413089123
6103,-0.00694966747798928,0.0984277178691088,-0.0147403322982142,0.988251891255116,0.996000618781634,-6.00032778128609
6104,-0.431700088329171,0.177660623579336,-0.981839629972819,0.327192023254493,0.612560789504483,-5.54648252627484
6105,-0.531173195038763,0.394249422858485,-1.25609164243965,0.210334291090703,0.489802686173824,-5.2584937438206
6106,-0.467049645702746,0.670281412460039,-0.957293195780466,0.339406414675359,0.623480110822363,-5.5688502559889
6107,-0.781103206103469,0.82845480036843,-1.35078197859179,0.178068895203855,0.451043261383885,-5.14289222658369
6108,-1.65700483819596,0.513525572197395,-3.10637317455876,0.00212771074319444,0.0492576476354585,-1.54338508716104
6109,-1.76849256931634,0.176591419688451,-3.18744538222723,0.0016309501490088,0.0434239031784228,-1.31294150599283
6110,-1.01397732522216,0.0952010355237067,-1.83786581696348,0.0673488197851666,0.28483018752257,-4.41846340256435
6111,0.0799925758959,0.344864200696548,0.15751278539654,0.874976444917764,0.951771845730897,-5.98872244541838
6112,1.83892224839975,0.353748830396654,2.9976406970773,0.00301394454731288,0.0598448888944281,-1.8438987298173
